Date,Close/Last,Open,High,Low
02/28/2025,5954.50,5856.74,5959.40,5837.66
02/27/2025,5861.57,5981.88,5993.69,5858.78
02/26/2025,5956.06,5970.87,6009.82,5932.69
02/25/2025,5955.25,5982.73,5992.65,5908.49
02/24/2025,5983.25,6026.69,6043.65,5977.83
02/21/2025,6013.13,6114.10,6114.82,6008.56
02/20/2025,6117.52,6134.50,6134.50,6084.59
02/19/2025,6144.15,6117.76,6147.43,6111.15
02/18/2025,6129.58,6121.60,6129.63,6099.51
02/14/2025,6114.63,6115.52,6127.47,6107.62
02/13/2025,6115.07,6060.59,6116.91,6050.95
02/12/2025,6051.97,6025.08,6063.00,6003.00
02/11/2025,6068.50,6049.32,6076.28,6042.34
02/10/2025,6066.44,6046.40,6073.38,6044.84
02/07/2025,6025.99,6083.13,6101.28,6019.96
02/06/2025,6083.57,6072.22,6084.03,6046.83
02/05/2025,6061.48,6020.45,6062.86,6007.06
02/04/2025,6037.88,5998.14,6042.48,5990.87
02/03/2025,5994.57,5969.65,6022.13,5923.93
